Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
1,2022,Montreal Canadiens,Juraj Slafkovsky,18,LW,SK,TPS (Finland),39,4,6,10,33,,,,,,2022-23
2,2022,New Jersey Devils,Simon Nemec,18,D,SK,HK Nitra (Slovakia),,,,,,,,,,,
3,2022,Arizona Coyotes,Logan Cooley,18,C,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
4,2022,Seattle Kraken,Shane Wright,18,C,CA,Kingston Frontenacs (OHL),8,1,1,2,2,,,,,,2022-23
5,2022,Philadelphia Flyers,Cutter Gauthier,18,LW,SE,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
6,2022,Columbus Blue Jackets,David Jiricek,18,D,CZ,HC Plzen (Czech),2,0,0,0,2,,,,,,2022-23
7,2022,Chicago Blackhawks,Kevin Korchinski,18,D,CA,Seattle Thunderbirds (WHL),,,,,,,,,,,
8,2022,Detroit Red Wings,Marco Kasper,18,C,AT,Rogle BK (Sweden),,,,,,,,,,,
9,2022,Buffalo Sabres,Matthew Savoie,18,C,CA,Winnipeg Ice (WHL),,,,,,,,,,,
10,2022,Anaheim Ducks,Pavel Mintyukov,18,D,RU,Saginaw Spirit (OHL),,,,,,,,,,,
11,2022,Arizona Coyotes,Conor Geekie,18,C,CA,Winnipeg Ice (WHL),,,,,,,,,,,
12,2022,Columbus Blue Jackets,Denton Mateychuk,18,D,CA,Moose Jaw Warriors (WHL),,,,,,,,,,,
13,2022,Chicago Blackhawks,Frank Nazar,18,C,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
14,2022,Winnipeg Jets,Rutger Mcgroarty,18,RW,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
15,2022,Vancouver Canucks,Jonathan Lekkerimaki,18,RW,SE,Djurgardens IF (Sweden),,,,,,,,,,,
16,2022,Buffalo Sabres,Noah Ostlund,18,C,SE,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,
17,2022,Nashville Predators,Joakim Kemell,18,RW,FI,JYP (Finland),,,,,,,,,,,
18,2022,Dallas Stars,Lian Bichsel,18,D,CH,Leksands IF (Sweden),,,,,,,,,,,
19,2022,Minnesota Wild,Liam Ohgren,18,LW,SE,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,
20,2022,Washington Capitals,Ivan Miroshnichenko,18,LW,RU,Omskie Krylia (Russia-2),,,,,,,,,,,
21,2022,Pittsburgh Penguins,Owen Pickering,18,D,CA,Swift Current Broncos (WHL),,,,,,,,,,,
22,2022,Anaheim Ducks,Nathan Gaucher,18,C,CA,Quebec Remparts (QMJHL),,,,,,,,,,,
23,2022,St. Louis Blues,Jimmy Snuggerud,18,RW,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
24,2022,Minnesota Wild,Danila Yurov,18,RW,RU,Metallurg Magnitogorsk (Russia),,,,,,,,,,,
25,2022,Chicago Blackhawks,Sam Rinzel,18,D,US,Chaska HS (High-MN),,,,,,,,,,,
